id,address,parcel_weight,service_time,window_start,window_end
1,"Shop 23, MG Road, Andheri West, Mumbai, Maharashtra 400053",25,10,0,480
2,"Flat 5B, Linking Road, Bandra West, Mumbai, Maharashtra 400050",30,10,0,480
3,"Office 301, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",20,10,0,480
4,"Building 12, Senapati Bapat Marg, Dadar, Mumbai, Maharashtra 400028",15,10,0,480
5,"Shop 7, FC Road, Shivajinagar, Pune, Maharashtra 411004",28,10,0,480
6,"Flat 203, Koregaon Park, Pune, Maharashtra 411001",22,10,0,480
7,"Office Tower, Hinjewadi Phase 1, Pune, Maharashtra 411057",18,10,0,480
8,"Building A, Viman Nagar, Pune, Maharashtra 411014",26,10,0,480
9,"Shop 45, MG Road, Camp, Pune, Maharashtra 411001",12,10,0,480
10,"Flat 8C, Aundh, Pune, Maharashtra 411007",30,10,0,480
